,child_id,bursts_count,burst_lengths,mean_burst_length,std_burst_length,mean_burst_amplitude,mean_burst_std
0,100RTP1,2,[27 12],19.5,7.5,256.63839761152093,31.52794628232343
1,100RTP2,6,[27  9  4 11  6  7],10.666666666666666,7.630348761506398,224.73585475127555,55.78637010859936
2,101RTP1,2,[32 18],25.0,7.0,653.2711459183672,126.25318294948362
3,101RTP2,5,[14 20 22  4  5],13.0,7.429670248402684,363.2145422696117,50.454294526547265
4,102RTP1,7,[ 3  3 13 13  9 28  9],11.142857142857142,7.8636336825845055,552.529810732223,73.04669861392863
5,102RTP2,5,[13 13 21 16  8],14.2,4.261455150532504,579.6186961372193,66.97813384245062
6,103RTP1,9,[ 6 18  8  4  4  9 11 10  5],8.333333333333334,4.189935029992179,215.97613565217392,43.1051295282602
7,103RTP2,12,[ 5  4  8  2 18  4  4 21  1  6 10  6],7.416666666666667,5.908444991892725,250.2110187265919,35.680579139730526
8,104RTP1,10,[ 1  1  1 13  8  9 14 16  5  7],7.5,5.296225070746145,254.96762032520323,44.25772495704941
9,104RTP2,4,[ 6 20  1  1],7.0,7.7781745930520225,305.44527984344415,67.12776639838515
10,105RTP1,6,[12  9 29  1 11  3],10.833333333333334,9.06305074954835,558.0602310832024,108.63750054507042
11,105RTP2,4,[ 7 24  5 19],13.75,7.980444849756184,560.4347832980968,104.14936976829169
12,106RTP1,5,[10  1 10  7 19],9.4,5.817215828899594,434.9232441399205,36.49057130799684
13,106RTP2,3,[ 8  6 39],17.666666666666668,15.107025591499548,503.6014236236751,70.24421375766931
14,107RTP1,8,[11 15  5 16  7  1  3  3],7.625,5.360445410597892,481.81512802498054,136.95937582154954
15,107RTP2,3,[17 11 15],14.333333333333334,2.494438257849294,485.47282488091884,114.99222581777042
16,110RTP1,13,[ 5  3 14  1 10  4 12 11 10  4  3  2  9],6.769230769230769,4.172323576098651,493.38458460656966,90.64399794652144
17,110RTP2,16,[18 11  8 10  5 25  8 10 21 18  8  2  6  6  4 20],11.25,6.703543838895961,525.4597668333334,51.32637174792776
18,111RTP1,8,[ 3 11 14  4  9  8  4  2],6.875,4.013648589500581,267.3724121212122,50.662167032750666
19,111RTP2,7,[15  4  6 25  4  1  1],8.0,8.211490207542807,447.90828691813823,77.754465687957
20,112RTP1,5,[12  5  9 11 27],12.8,7.493997598078078,320.0236120689656,67.12548037190597
21,112RTP2,6,[ 3 13  9  4 11  7],7.833333333333333,3.5784850922639815,414.9673586983733,87.83680584378993
22,113RTP1,5,[ 9  8  5  9 13],8.8,2.5612496949731396,317.41600767414417,46.99870428547122
23,113RTP2,7,[32 12  4  5  9  7 11],11.428571428571429,8.829449794492824,266.5757393258428,35.330511387733786
24,113RTP3,5,[12  2 18 11  1],8.8,6.43117407632541,323.4954890909091,48.614748693270414
25,113RTP4,5,[ 2  4  8  7 18],7.8,5.528109984434101,587.8700800000004,106.9341602665088
26,114RTP1,6,[15 14  1 10 15  1],9.333333333333334,6.128258770283412,255.85105798319324,44.296926581656756
27,114RTP2,8,[15 10 22  3 12  5 10  3],10.0,6.082762530298219,214.23076007653063,34.97382422375688
28,114RTP3,11,[ 1  2 10  9  2 17  2 15  8  7  6],7.181818181818182,5.131333015152759,315.30278777269064,56.559228127774205
